iter	Passed	Remaining
0	1	4330
1	2	4057
2	3	3840
3	5	3952
4	7	4239
5	8	4194
6	9	4148
7	11	4136
8	12	4102
9	13	4124
10	15	4191
11	16	4152
12	18	4217
13	20	4348
14	21	4371
15	23	4338
16	24	4340
17	26	4312
18	27	4289
19	28	4280
20	30	4276
21	31	4261
22	33	4348
23	35	4358
24	36	4354
25	37	4334
26	39	4320
27	40	4301
28	41	4282
29	43	4271
30	44	4270
31	45	4255
32	47	4270
33	48	4266
34	50	4252
35	51	4249
36	53	4250
37	54	4244
38	56	4266
39	57	4269
40	59	4266
41	61	4360
42	63	4347
43	64	4336
44	65	4331
45	67	4327
46	68	4322
47	70	4306
48	71	4288
49	72	4287
50	74	4313
51	75	4305
52	77	4297
53	78	4284
54	79	4271
55	81	4260
56	82	4251
57	83	4239
58	84	4228
59	86	4217
60	87	4215
61	88	4214
62	90	4213
63	92	4222
64	93	4232
65	95	4223
66	96	4216
67	98	4239
68	99	4231
69	100	4226
70	102	4221
71	103	4224
72	105	4218
73	106	4207
74	107	4197
75	108	4191
76	110	4189
77	111	4181
78	112	4172
79	114	4171
80	115	4177
81	117	4168
82	118	4162
83	119	4157
84	121	4152
85	122	4144
86	123	4137
87	124	4132
88	126	4123
89	127	4120
90	129	4133
91	131	4148
92	132	4148
93	134	4147
94	135	4144
95	137	4150
96	138	4148
97	140	4150
98	142	4172
99	144	4184
100	145	4182
101	147	4183
102	148	4178
103	149	4174
104	151	4169
105	152	4166
106	154	4166
107	155	4177
108	157	4173
109	158	4171
110	160	4169
111	161	4170
112	163	4166
113	164	4162
114	165	4155
115	166	4150
116	168	4151
117	170	4159
118	171	4155
119	173	4158
120	174	4155
121	176	4153
122	177	4151
123	179	4153
124	180	4149
125	181	4151
126	183	4146
127	184	4146
128	186	4143
129	187	4142
130	188	4138
131	190	4136
132	191	4132
133	193	4130
134	194	4127
135	196	4138
136	198	4150
137	200	4155
138	201	4154
139	203	4156
140	205	4164
141	207	4175
142	208	4173
143	214	4253
144	216	4262
145	218	4271
146	220	4272
147	221	4271
148	223	4270
149	225	4293
150	227	4299
151	229	4301
152	230	4298
153	232	4296
154	233	4293
155	235	4290
156	236	4285
157	238	4291
158	239	4286
159	241	4280
160	242	4274
161	243	4270
162	245	4265
163	246	4264
164	247	4260
165	249	4253
166	251	4261
167	253	4266
168	254	4264
169	255	4259
170	257	4254
171	258	4250
172	259	4245
173	261	4242
174	262	4243
175	264	4237
176	265	4242
177	267	4239
178	269	4239
179	270	4239
180	272	4237
181	273	4238
182	275	4239
183	276	4236
184	278	4235
185	280	4239
186	281	4238
187	283	4237
188	284	4238
189	287	4245
190	288	4247
191	290	4248
192	292	4259
193	294	4259
194	295	4256
195	297	4252
196	299	4263
197	301	4269
198	303	4276
199	305	4272
200	306	4270
201	308	4268
202	309	4265
203	310	4262
204	312	4259
205	313	4256
206	315	4254
207	316	4250
208	318	4252
209	319	4247
210	322	4261
211	323	4258
212	325	4262
213	328	4278
214	335	4340
215	338	4360
216	341	4375
217	345	4414
218	349	4439
219	352	4459
220	355	4467
221	357	4470
222	359	4470
223	360	4471
224	363	4486
225	365	4488
226	368	4505
227	370	4508
228	372	4512
229	374	4513
230	376	4514
231	378	4518
232	381	4530
233	383	4531
234	385	4541
235	389	4559
236	391	4568
237	393	4568
238	397	4586
239	399	4591
240	401	4591
241	403	4597
242	405	4601
243	407	4604
244	410	4611
245	412	4612
246	414	4619
247	417	4629
248	419	4633
249	421	4636
250	424	4643
251	448	4892
252	451	4901
253	459	4964
254	462	4978
255	470	5039
256	473	5050
257	476	5062
258	478	5066
259	481	5070
260	483	5072
261	486	5083
262	489	5091
263	491	5091
264	494	5106
265	498	5125
266	501	5129
267	503	5128
268	504	5126
269	506	5122
270	509	5126
271	511	5127
272	513	5128
273	516	5135
274	519	5146
275	521	5146
276	524	5158
277	526	5155
278	528	5156
279	530	5155
280	533	5166
281	537	5183
282	542	5206
283	545	5213
284	548	5223
285	550	5220
286	552	5226
287	554	5225
288	556	5223
289	561	5243
290	563	5243
291	565	5240
292	567	5238
293	569	5244
294	572	5245
295	574	5246
296	576	5246
297	579	5256
298	585	5290
299	589	5304
300	592	5316
301	597	5341
302	600	5341
303	603	5353
304	605	5353
305	607	5349
306	610	5351
307	612	5352
308	614	5354
309	618	5365
310	620	5365
311	622	5363
312	624	5363
313	626	5361
314	628	5355
315	629	5350
316	632	5356
317	634	5354
318	637	5353
319	638	5348
320	640	5343
321	641	5339
322	644	5340
323	646	5340
324	648	5338
325	650	5336
326	652	5333
327	654	5331
328	656	5328
329	659	5337
330	663	5350
331	666	5353
332	668	5351
333	669	5346
334	672	5346
335	673	5343
336	675	5338
337	677	5337
338	679	5334
339	681	5330
340	683	5325
341	684	5321
342	687	5325
343	689	5320
344	690	5316
345	692	5312
346	694	5307
347	695	5303
348	697	5298
349	699	5296
350	702	5298
351	703	5295
352	706	5294
353	707	5290
354	709	5287
355	711	5282
356	713	5282
357	715	5277
358	716	5271
359	718	5267
360	720	5265
361	721	5259
362	723	5255
363	725	5250
364	726	5244
365	728	5242
366	729	5235
367	731	5230
368	732	5224
369	734	5219
370	735	5214
371	737	5211
372	739	5206
373	742	5213
374	744	5214
375	747	5215
376	750	5221
377	752	5220
378	754	5215
379	756	5217
380	758	5216
381	760	5213
382	762	5210
383	764	5208
384	766	5207
385	768	5202
386	771	5208
387	773	5208
388	775	5207
389	777	5202
390	779	5201
391	782	5202
392	785	5209
393	787	5206
394	789	5206
395	791	5202
396	793	5201
397	796	5206
398	799	5209
399	801	5208
400	803	5208
401	806	5210
402	810	5222
403	814	5231
404	816	5228
405	818	5226
406	819	5222
407	821	5218
408	823	5214
409	830	5243
410	832	5241
411	834	5240
412	836	5236
413	837	5234
414	839	5232
415	842	5233
416	845	5234
417	847	5232
418	848	5228
419	850	5224
420	852	5221
421	854	5220
422	857	5222
423	859	5224
424	861	5222
425	863	5220
426	865	5217
427	869	5224
428	873	5232
429	875	5231
430	877	5231
431	880	5235
432	884	5241
433	886	5239
434	888	5237
435	892	5247
436	894	5245
437	896	5241
438	899	5245
439	901	5245
440	903	5242
441	906	5245
442	908	5244
443	910	5240
444	912	5240
445	914	5238
446	916	5237
447	918	5232
448	920	5229
449	923	5234
450	926	5234
